ID,Straßenname,benannt nach [WD],Geschlecht,Geburtsort,Sterbeort,Beruf [WD],Geburtsjahr,Todesjahr,Wirkungsbereich,Tätigkeitsfeld,Tätigkeitsfeld II,Verbindung,Partei,Sonstiges
1418,Rethelstraße,Alfred Rethel,männlich,Aachen,Düsseldorf,"Zeichner, Maler",1816,1859,lokal,kulturell,Bildender Künstler,,,
1618,Eisenstuckstraße,Christian Gottlieb Eisenstuck,männlich,Annaberg-Buchholz,Dresden,"Politiker, Rechtsanwalt",1773,1853,lokal,politisch,Abgeordneter,,,
1376,Robert-Bosch-Ring,Robert Bosch,männlich,Albeck,Stuttgart,"Industrieller, Ingenieur, Erfinder",1861,1942,national,ökonomisch,Ingenieur,,,
866,Tzschirnerplatz,Samuel Erdmann Tzschirner,männlich,Bautzen,Leipzig,"Jurist, Politiker, Rechtsanwalt",1812,1870,lokal,politisch,Abgeordneter,Demokratisch-republikanisch,,
1414,Wilhelm-Buck-Straße,Wilhelm Buck,männlich,Bautzen,Radebeul,"Gewerkschafter, Politiker",1869,1945,lokal,politisch,Abgeordneter,Sozialdemokratie,SPD,
1644,Geinitzstraße,Hanns Bruno Geinitz,männlich,Altenburg,Dresden,"Mineraloge, Entomologe, Paläontologe, Botaniker, Leiter, Hochschullehrer, Geologe",1814,1900,lokal,wissenschaftlich,Naturwissenschaftler,,,
1264,Singerstraße,Paul Singer,männlich,Berlin,Berlin,"Verleger, Politiker",1844,1911,lokal,politisch,Abgeordneter,Sozialdemokratie,SPD,
1145,Toni-Sender-Straße,Tony Sender,weiblich,Biebrich,New York City,"Journalist, Widerstandskämpfer, Autor, Politiker",1888,1964,lokal,politisch,Abgeordneter,Sozialdemokratie,"SPD, USPD",
1064,Max-Sachs-Straße,Max Sachs,männlich,Breslau,KZ Sachsenburg,"Journalist, Redakteur, Politiker, Schriftsteller",1883,1935,lokal,politisch,Abgeordneter,"NS-Verfolgte, Sozialdemokratie",SPD,
1073,Leonardo-da-Vinci-Straße,Leonardo da Vinci,männlich,Anchiano,Schloss Clos Lucé,"Bauzeichner, Karikaturist, Anatom, Designer, Bauingenieur, Physiologe, Philosoph, bildender Künstler, Botaniker, Chemiker, Bildhauer, Maler, Zoologe, Erfinder, Universalgelehrter, Mathematiker, Diplomat, Physiker, Ingenieur, Architekt, Komponist, Wissenschaftler, Astronom, Schriftsteller",1452,1519,international,kulturell,Bildender Künstler,,,
955,Kolpingstraße,Adolf Kolping,männlich,Andernach,Bonn,"Hochschullehrer, Theologe, katholischer Priester",1909,1997,national,wissenschaftlich,Sonstige,,,
1267,Lilienthalstraße,Otto Lilienthal,männlich,Anklam,Berlin,"Flugingenieur, Pilot, Erfinder",1848,1896,national,kulturell,Erfinder,Luftfahrt,,
1406,Polenzstraße,Maximilian von Polenz,männlich,Chemnitz,Niederlößnitz,"Amtshauptmann, Politiker",1837,1907,lokal,politisch,Abgeordneter,Monarchie,Deutschkonservative Partei,
976,Schulze-Delitzsch-Straße,Hermann Schulze-Delitzsch,männlich,Delitzsch,Potsdam,"Politiker, Bankier, Jurist, Wirtschaftswissenschaftler, Schriftsteller",1808,1883,regional,politisch,Abgeordneter,Liberalismus,,
1148,August-Bebel-Straße,August Bebel,männlich,Deutz,Passugg,"Drechsler, Politiker, Schriftsteller",1840,1913,lokal,politisch,Abgeordneter,Sozialdemokratie,SPD,
1161,August-Bebel-Straße (LB),August Bebel,männlich,Deutz,Passugg,"Drechsler, Politiker, Schriftsteller",1840,1913,lokal,politisch,Abgeordneter,Sozialdemokratie,SPD,
1498,Friedrich-Press-Straße,Friedrich Press,männlich,Ascheberg,Dresden,Bildhauer,1904,1990,lokal,kulturell,Bildender Künstler,,,
861,Bertolt-Brecht-Platz,Bertolt Brecht,männlich,Augsburg,Ost-Berlin,"Librettist, Bühnenregisseur, Literaturkritiker, Regisseur, Filmregisseur, Liedtexter, Dramatiker, Dichter, Schriftsteller, Drehbuchautor",1898,1956,national,kulturell,Schriftsteller,Sozialismus/Kommunismus,,
933,Holbeinstraße,Hans Holbein der Jüngere,männlich,Augsburg,London,"Exlibriskünstler, Porträtist, Zeichner, Druckgrafiker, bildender Künstler, Maler, Illustrator, Künstler",1497,1543,national,kulturell,Bildender Künstler,,,
1056,Bertolt-Brecht-Allee,Bertolt Brecht,männlich,Augsburg,Ost-Berlin,"Literaturkritiker, Librettist, Bühnenregisseur, Filmregisseur, Regisseur, Liedtexter, Dramatiker, Dichter, Schriftsteller, Drehbuchautor",1898,1956,national,kulturell,Schriftsteller,,,
1410,Mengsstraße,Anton Raphael Mengs,männlich,Aussig,Rom,"Kunsthistoriker, Maler",1728,1779,lokal,kulturell,Bildender Künstler,,,
1601,Kügelgenstraße,Gerhard von Kügelgen,männlich,Bacharach,Dresden,"Hochschullehrer, Maler",1772,1820,lokal,kulturell,Bildender Künstler,,,
1497,Rauchstraße,Christian Daniel Rauch,männlich,Bad Arolsen,Dresden,"bildender Künstler, Kunsthistoriker, Bildhauer",1777,1857,lokal,kulturell,Bildender Künstler,,,
1088,August-Bebel-Straße (CB),August Bebel,männlich,Deutz,Passugg,"Drechsler, Politiker, Schriftsteller",1840,1913,lokal,politisch,Abgeordneter,"Sozialismus/Kommunismus, Sozialdemokratie",SPD,
