Straßenname,Ortsname,lat,lon,adresse
Kaufbacher Weg,Kaufbach (Wilsdruff),51.0513781,13.570704,"Kaufbach, Wilsdruff, Sächsische Schweiz-Osterzgebirge, Sachsen, 01723, Deutschland"
Hühndorfer Weg,Hühndorf (Klipphausen),51.0686605,13.5698707,"Hühndorf, Klipphausen, Meißen, Sachsen, Deutschland"
Weistropper Weg,Weistropp (Klipphausen),51.0863503,13.585671,"Weistropp, Klipphausen, Meißen, Sachsen, 01640, Deutschland"
Unkersdorfer Landstraße,Unkersdorf,51.0564054,13.5915327,"Unkersdorf, Gompitz, Dresden, Sachsen, 01156, Deutschland"
Weistropper Straße (CB),Weistropp (Klipphausen),51.0863503,13.585671,"Weistropp, Klipphausen, Meißen, Sachsen, 01640, Deutschland"
Steinbacher Grundstraße,Steinbach (Dresden),51.0437651,13.6028003,"Steinbach, Gompitz, Dresden, Sachsen, 01156, Deutschland"
Oberwarthaer Straße,Oberwartha,51.0816091,13.6047327,"Oberwartha, Dresden, Sachsen, Deutschland"
Niederwarthaer Brücke,Niederwartha,51.090646,13.6064712,"Niederwartha, Cossebaude, Dresden, Sachsen, 01156, Deutschland"
Wurgwitzer Landstraße,Wurgwitz,51.0255828,13.6276404,"Wurgwitz, Freital, Sächsische Schweiz-Osterzgebirge, Sachsen, 01705, Deutschland"
Grunaweg,Gruna (Dresden),51.0332929,13.7864783,"Gruna, Blasewitz, Dresden, Sachsen, Deutschland"
Unkersdorfer Weg,Unkersdorf,51.0564054,13.5915327,"Unkersdorf, Gompitz, Dresden, Sachsen, 01156, Deutschland"
Roitzscher Dorfstraße,Roitzsch,51.0539154,13.6092978,"Roitzsch, Gompitz, Dresden, Sachsen, 01156, Deutschland"
Roitzscher Landstraße,Roitzsch,51.0539154,13.6092978,"Roitzsch, Gompitz, Dresden, Sachsen, 01156, Deutschland"
Zöllmener Landstraße,Zöllmen,51.0430199,13.6109099,"Zöllmen, Gompitz, Dresden, Sachsen, 01156, Deutschland"
Meißner Straße,Meißen,51.1630871,13.4704939,"Meißen, Sachsen, Deutschland"
Rennersdorfer Hauptstraße,Rennersdorf,51.069234,13.6085307,"Rennersdorf, Mobschatz, Dresden, Sachsen, 01156, Deutschland"
Pennricher Feldrain,Pennrich,51.0441703,13.6236509,"Pennrich, Gompitz, Dresden, Sachsen, 01156, Deutschland"
Dorfplatz-Brabschütz,Brabschütz,51.0697817,13.622591,"Brabschütz, Mobschatz, Dresden, Sachsen, 01156, Deutschland"
Cossebauder Weg,Cossebaude,51.0876124,13.6298379,"Cossebaude, Dresden, Sachsen, 01156, Deutschland"
Podemuser Straße,Podemus,51.0611175,13.6266098,"Podemus, Mobschatz, Dresden, Sachsen, 01156, Deutschland"
Pennricher Weg,Pennrich,51.0441703,13.6236509,"Pennrich, Gompitz, Dresden, Sachsen, 01156, Deutschland"
Pennricher Höhe,Pennrich,51.0441703,13.6236509,"Pennrich, Gompitz, Dresden, Sachsen, 01156, Deutschland"
Podemuser Hauptstraße,Podemus,51.0611175,13.6266098,"Podemus, Mobschatz, Dresden, Sachsen, 01156, Deutschland"
Altpodemus,Podemus,51.0611175,13.6266098,"Podemus, Mobschatz, Dresden, Sachsen, 01156, Deutschland"
Altnossener Straße,Nossen,51.0565934,13.2980726,"Nossen, Meißen, Sachsen, 01683, Deutschland"
Brabschützer Straße (CB),Brabschütz,51.0697817,13.622591,"Brabschütz, Mobschatz, Dresden, Sachsen, 01156, Deutschland"
Podemuser Ring,Podemus,51.0611175,13.6266098,"Podemus, Mobschatz, Dresden, Sachsen, 01156, Deutschland"
Gohliser Straße (CB),Gohlis (Dresden),51.0849897,13.6456255,"Gohlis, Dresdner Straße, Obergohlis, Cossebaude, Dresden, Sachsen, 01156, Deutschland"
