ID,street name,named after,gender,place of birth,place of death,citizenships,citizenships today,occupations,birth year,death year,area of action,category,category II,connection,party,miscellaneous,lat,lon
1229,Rohlfsstraße,Gerhard Rohlfs,männlich,Vegesack,Rüngsdorf,Bremen,Deutschland,"Fremdenlegionär, Forschungsreisender, Militärarzt, Reiseschriftsteller, Botaniker, Geograph, Kriegsfreiwilliger, Agent",1831,1896.0,national,kulturell,Schriftsteller,Afrika,,,53.1705249,8.6238803
1585,Hartwigweg,Gustav Hartwig,männlich,Unkersdorf,Dresden,Deutschland,Deutschland,"Baumeister, Politiker",1839,1908.0,lokal,politisch,Abgeordneter,"Antisemitismus, Konservatismus","DRP, CSP",,51.0564054,13.5915327
1694,Rabenerstraße,Gottlieb Wilhelm Rabener,männlich,Wachau,Dresden,Deutschland,Deutschland,"Dichterjurist, Dramatiker, Schriftsteller",1714,1771.0,lokal,kulturell,Schriftsteller,Aufklärung,,,48.3275518,15.4116456
992,Florian-Geyer-Straße,Florian Geyer,männlich,Giebelstadt,Würzburg,Deutschland,Deutschland,"Reichsritter, Diplomat, Militär",1490,1525.0,national,militärisch,Ritter,Bauernkriege,,,49.6526294,9.9475152
1136,Wendel-Hipler-Straße,Wendel Hipler,männlich,Neuenstein,Heidelberg,Deutschland,Deutschland,Revolutionär,1465,1526.0,national,politisch,Sonstige,Bauernkriege,,,49.2049886,9.5813213
991,Pfeifferhannsstraße,Heinrich Pfeiffer,männlich,Mühlhausen/Thüringen,Mühlhausen/Thüringen,Deutschland,Deutschland,Prediger,1450,1525.0,national,religiös,Sonstige,Bauernkriege,,,51.2094255,10.4589044
1018,Thomas-Müntzer-Platz,Thomas Müntzer,männlich,Stolberg,Mühlhausen/Thüringen,Heiliges Römisches Reich Deutscher Nation,Deutschland,"Revolutionär, Reformator, Theologe, Liedtexter, Priester",1489,1525.0,national,religiös,Theologe,"Bauernkriege, Reformation",,,50.7702908,6.2295504
866,Tzschirnerplatz,Samuel Erdmann Tzschirner,männlich,Bautzen,Leipzig,Königreich Sachsen,Deutschland,"Jurist, Politiker, Rechtsanwalt",1812,1870.0,lokal,politisch,Abgeordneter,Demokratisch-republikanisch,,,51.1809132,14.4276003
862,Robert-Blum-Straße,Robert Blum,männlich,Köln,Brigittenau,Königreich Preußen,Deutschland,"Revolutionär, Bibliothekar, Politiker, Schriftsteller",1807,1848.0,national,politisch,Sonstige,Demokratisch-republikanisch,,,50.938361,6.959974
1393,Patrice-Lumumba-Straße,Patrice Lumumba,männlich,,Lubumbashi,,DR Kongo,"Revolutionär, Politiker",1925,1961.0,international,politisch,Regierungs,DR Kongo,,,,
1363,Gustav-Voigt-Straße,Gustav Voigt,männlich,,,,Deutschland,Gemeindevorstand,1852,1938.0,lokal,politisch,Lokalpolitiker,Ehrenbürger,,,,
