ID,Wikidata-Item,Straßenname,Koordinaten,Wikidata-Item (benannt nach),benannt nach,Beschreibung (benannt nach),Postleitzahl,lokaler Bezug,Benennungstyp,Benennungstyp II,Tätigkeitsfeld,Tätigkeitsfeld II,Verbindung,Sonstiges,Grundwort,Strassenendung
323,http://www.wikidata.org/entity/Q72661498,Am Steinhübel,Point(13.58769 51.05039),http://www.wikidata.org/entity/Q30605972,Steinhübel,Berg in Sachsen,1156,ja,weitere Geografika,Berg,,,,,Sonstige,Sonstige
523,http://www.wikidata.org/entity/Q72661559,Am Wetterbusch,Point(13.58817 51.05431),,,,1156,ja,weitere Geografika,Flurname,,,,,Sonstige,Sonstige
2463,http://www.wikidata.org/entity/Q99396213,Kaufbacher Weg,Point(13.58943 51.05824),http://www.wikidata.org/entity/Q1736992,Kaufbach (Wilsdruff),Ortsteil von Wilsdruff,1156,nein,Ort,,,,,,Weg,Weg
2460,http://www.wikidata.org/entity/Q99396166,Hühndorfer Weg,Point(13.59043 51.05916),http://www.wikidata.org/entity/Q1246074,Hühndorf (Klipphausen),Ortsteil von Klipphausen,1156,nein,Ort,,,,,,Weg,Weg
2478,http://www.wikidata.org/entity/Q99397600,Weistropper Weg,Point(13.591181 51.065626),http://www.wikidata.org/entity/Q1634399,Weistropp (Klipphausen),Ortsteil von Klipphausen,1156,nein,Ort,,,,,,Weg,Weg
616,http://www.wikidata.org/entity/Q72661457,Am Schreiberbach,Point(13.591439 51.060172),,,,1156,ja,weitere Geografika,Gewässer,,,,,Sonstige,Sonstige
582,http://www.wikidata.org/entity/Q99397431,Teichweg,Point(13.592922 51.055958),,,,1156,nein,weitere Geografika,Gewässer,,,,,Weg,Weg
100,http://www.wikidata.org/entity/Q72661052,Alte Poststraße,Point(13.595241 51.047212),,,,1156,ja,Bauwerk/Infrastruktur,,,,,,Straße,Straße
2703,http://www.wikidata.org/entity/Q99397473,Unkersdorfer Landstraße,Point(13.596689 51.072582),http://www.wikidata.org/entity/Q110653,Unkersdorf,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Straße,Straße
3024,http://www.wikidata.org/entity/Q72662233,Drei-Häuser-Weg,Point(13.59802 51.04326),,,,1156,ja,Sonstige,,,,,,Weg,Weg
534,http://www.wikidata.org/entity/Q99397174,Schwarmweg,Point(13.598468 51.058236),,,,1156,ja,weitere Geografika,Flurname,,,,,Weg,Weg
3213,,Fuchslochweg,Point(13.5991863 51.0782137),,Flur,,1156,ja,weitere Geografika,Flurname,,,,,Weg,Weg
452,http://www.wikidata.org/entity/Q99397461,Tännichtgrundstraße,Point(13.599618 51.091707),,,,1156,ja,weitere Geografika,Tal,,,,,Straße,Straße
2477,http://www.wikidata.org/entity/Q99397599,Weistropper Straße (CB),Point(13.600924 51.094527),http://www.wikidata.org/entity/Q1634399,Weistropp (Klipphausen),Ortsteil von Klipphausen,1156,nein,Ort,,,,,,Straße,Sonstige
1955,http://www.wikidata.org/entity/Q72662499,Fünf-Brüder-Weg,Point(13.60202 51.08201),,5 Edelkastanien,,1156,nein,Natur,Pflanze,,,,,Weg,Weg
1389,http://www.wikidata.org/entity/Q99396629,Max-Schwan-Straße,Point(13.60205 51.08098),,Max Schwan,Schulleiter und Ortschronist in Oberwartha,1156,ja,Person real,,,,,,Straße,Straße
400,http://www.wikidata.org/entity/Q72661196,Am Burgberg,Point(13.60222 51.09002),http://www.wikidata.org/entity/Q58194209,Burgberg Niederwartha,Abgegangene slawische Befestigungsanlage,1156,ja,Burg,,,,,,Berg,Sonstige
2697,http://www.wikidata.org/entity/Q99397327,Steinbacher Grundstraße,Point(13.6025 51.04926),http://www.wikidata.org/entity/Q1668480,Steinbach (Dresden),Ortsteil der Stadt Dresden,1156,ja,Ort,Stadtteil,,,,,Straße,Straße
1382,http://www.wikidata.org/entity/Q100135993,Fritz-Arndt-Platz,Point(13.60252 51.07787),,Fritz Arndt,Besitzer des Klostergutes und Initiator einer modernen Dorfgestaltung,1156,ja,Person real,,,,,,Platz,Platz
1363,http://www.wikidata.org/entity/Q99395915,Gustav-Voigt-Straße,Point(13.60274 51.07914),,Gustav Voigt,Gemeindevorstand und Ehrenbürger in Oberwartha,1156,ja,Person real,,,,,,Straße,Straße
146,http://www.wikidata.org/entity/Q99396860,Zur Schäferei,Point(13.603398 51.076549),,,,1156,ja,Gewerbe/Industrie,,,,,,Sonstige,Sonstige
2809,http://www.wikidata.org/entity/Q99396811,Oberwarthaer Straße,Point(13.60357 51.08955),http://www.wikidata.org/entity/Q1674903,Oberwartha,"Ortschaft der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Straße,Straße
1399,http://www.wikidata.org/entity/Q99397109,Rudolf-Förster-Straße,Point(13.6039 51.07782),,Rudolf Förster,Bürgermeister in Oberwartha,1156,ja,Person real,,,,,,Straße,Straße
408,http://www.wikidata.org/entity/Q72662458,Friedensallee,Point(13.60426 51.08656),,,,1156,nein,Ereignis,,,,,,Allee,Allee
127,http://www.wikidata.org/entity/Q72661263,Am Fährhaus,Point(13.60458 51.09402),,,,1156,ja,Bauwerk/Infrastruktur,,,,,,Sonstige,Sonstige
3222,,Niederwarthaer Brücke,Point(13.604777 51.0963283),,Niederwartha,,1156,ja,Ort,Stadtteil,,,,,Brücke,Brücke
1372,http://www.wikidata.org/entity/Q99396047,Hermann-Große-Straße,Point(13.60514 51.09164),,Hermann Große,Gemeindevorstand von Niederwartha,1156,ja,Person real,,,,,,Straße,Straße
3187,http://www.wikidata.org/entity/Q99397176,Schwarzer Weg,Point(13.605449 51.081955),,,,1156,nein,Unbekannt,,,,,,Weg,Weg
2774,http://www.wikidata.org/entity/Q99397723,Wurgwitzer Landstraße,Point(13.60546 51.03421),http://www.wikidata.org/entity/Q6392,Wurgwitz,Stadtteil von Freital,1156,ja,Ort,,,,,,Straße,Straße
2714,http://www.wikidata.org/entity/Q99395904,Grunaweg,Point(13.60547 51.09187),http://www.wikidata.org/entity/Q95622682,Gruna (Dresden),Ortswüstung in Niederwartha,1156,ja,Ort,Wüstung,,,,,Weg,Weg
2704,http://www.wikidata.org/entity/Q99397474,Unkersdorfer Weg,Point(13.605533 51.065293),http://www.wikidata.org/entity/Q110653,Unkersdorf,"Ortsteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1156,ja,Ort,Stadtteil,,,,,Weg,Weg
122,http://www.wikidata.org/entity/Q99396485,Lochmühlenweg,Point(13.606591 51.075691),,,,1156,ja,Bauwerk/Infrastruktur,,,,,,Weg,Weg
1613,http://www.wikidata.org/entity/Q72662471,Friedrich-August-Straße,Point(13.60669 51.08999),http://www.wikidata.org/entity/Q57320,Friedrich August III.,letzter König von Sachsen,1156,ja,Person real,,,,,,Straße,Straße
3155,http://www.wikidata.org/entity/Q99396163,Hässige Straße,Point(13.60677 51.07974),,,,1156,nein,Unbekannt,,,,,,Straße,Straße
3217,,Katzensprung,Point(13.6069899 51.0784355),,,,1156,nein,Abstrakta,,,,,,Sonstige,Sonstige
1312,http://www.wikidata.org/entity/Q92206191,Dorotheenstraße (OW),Point(13.607096 51.082485),,Dorothee Arndt,"Tochter des Klostergutsbesitzers Fritz Arndt, Erbauer der Straße",1156,ja,Person real,,,,,,Straße,Sonstige
2849,http://www.wikidata.org/entity/Q99397014,Roitzscher Dorfstraße,Point(13.6072 51.0534),http://www.wikidata.org/entity/Q2162510,Roitzsch,Ortsteil von Dresden,1156,ja,Ort,Stadtteil,,,,,Straße,Straße
447,http://www.wikidata.org/entity/Q99397292,Silbertalweg,Point(13.60773 51.06916),,,,1156,ja,weitere Geografika,Flurname,,,,,Weg,Weg
958,http://www.wikidata.org/entity/Q99396401,Liebknechtstraße,Point(13.60774 51.08128),http://www.wikidata.org/entity/Q75886,Karl Liebknecht,"deutscher Politiker (SPD/KPD), MdR",1156,nein,Person real,,,,,,Straße,Straße
