ID,Straßenname,benannt nach,Geschlecht,Geburtsort,Sterbeort,Beruf,Geburtsjahr,Todesjahr,Wirkungsbereich,Tätigkeitsfeld,Tätigkeitsfeld II,Verbindung,Partei,Sonstiges,lokaler Bezug
1418,Rethelstraße,Alfred Rethel,männlich,Aachen,Düsseldorf,"Zeichner, Maler",1816,1859.0,lokal,kulturell,Bildender Künstler,,,,nein
1618,Eisenstuckstraße,Christian Gottlieb Eisenstuck,männlich,Annaberg-Buchholz,Dresden,"Politiker, Rechtsanwalt",1773,1853.0,lokal,politisch,Abgeordneter,,,,ja
1376,Robert-Bosch-Ring,Robert Bosch,männlich,Albeck,Stuttgart,"Industrieller, Ingenieur, Erfinder",1861,1942.0,national,ökonomisch,Ingenieur,,,,nein
866,Tzschirnerplatz,Samuel Erdmann Tzschirner,männlich,Bautzen,Leipzig,"Jurist, Politiker, Rechtsanwalt",1812,1870.0,lokal,politisch,Abgeordneter,Demokratisch-republikanisch,,,nein
1414,Wilhelm-Buck-Straße,Wilhelm Buck,männlich,Bautzen,Radebeul,"Gewerkschafter, Politiker",1869,1945.0,lokal,politisch,Abgeordneter,Sozialdemokratie,SPD,,nein
1644,Geinitzstraße,Hanns Bruno Geinitz,männlich,Altenburg,Dresden,"Mineraloge, Entomologe, Paläontologe, Botaniker, Leiter, Hochschullehrer, Geologe",1814,1900.0,lokal,wissenschaftlich,Naturwissenschaftler,,,,ja
1264,Singerstraße,Paul Singer,männlich,Berlin,Berlin,"Verleger, Politiker",1844,1911.0,lokal,politisch,Abgeordneter,Sozialdemokratie,SPD,,nein
1145,Toni-Sender-Straße,Tony Sender,weiblich,Biebrich,New York City,"Journalist, Widerstandskämpfer, Autor, Politiker",1888,1964.0,lokal,politisch,Abgeordneter,Sozialdemokratie,"SPD, USPD",,nein
1064,Max-Sachs-Straße,Max Sachs,männlich,Breslau,KZ Sachsenburg,"Journalist, Redakteur, Politiker, Schriftsteller",1883,1935.0,lokal,politisch,Abgeordneter,"NS-Verfolgte, Sozialdemokratie",SPD,,nein
1073,Leonardo-da-Vinci-Straße,Leonardo da Vinci,männlich,Anchiano,Schloss Clos Lucé,"Bauzeichner, Karikaturist, Anatom, Designer, Bauingenieur, Physiologe, Philosoph, bildender Künstler, Botaniker, Chemiker, Bildhauer, Maler, Zoologe, Erfinder, Universalgelehrter, Mathematiker, Diplomat, Physiker, Ingenieur, Architekt, Komponist, Wissenschaftler, Astronom, Schriftsteller",1452,1519.0,international,kulturell,Bildender Künstler,,,,nein
955,Kolpingstraße,Adolf Kolping,männlich,Andernach,Bonn,"Hochschullehrer, Theologe, katholischer Priester",1909,1997.0,national,wissenschaftlich,Sonstige,,,,nein
1267,Lilienthalstraße,Otto Lilienthal,männlich,Anklam,Berlin,"Flugingenieur, Pilot, Erfinder",1848,1896.0,national,kulturell,Erfinder,Luftfahrt,,,nein
1406,Polenzstraße,Maximilian von Polenz,männlich,Chemnitz,Niederlößnitz,"Amtshauptmann, Politiker",1837,1907.0,lokal,politisch,Abgeordneter,Monarchie,Deutschkonservative Partei,,nein
976,Schulze-Delitzsch-Straße,Hermann Schulze-Delitzsch,männlich,Delitzsch,Potsdam,"Politiker, Bankier, Jurist, Wirtschaftswissenschaftler, Schriftsteller",1808,1883.0,regional,politisch,Abgeordneter,Liberalismus,,,nein
1148,August-Bebel-Straße,August Bebel,männlich,Deutz,Passugg,"Drechsler, Politiker, Schriftsteller",1840,1913.0,lokal,politisch,Abgeordneter,Sozialdemokratie,SPD,,nein
1161,August-Bebel-Straße (LB),August Bebel,männlich,Deutz,Passugg,"Drechsler, Politiker, Schriftsteller",1840,1913.0,lokal,politisch,Abgeordneter,Sozialdemokratie,SPD,,nein
1498,Friedrich-Press-Straße,Friedrich Press,männlich,Ascheberg,Dresden,Bildhauer,1904,1990.0,lokal,kulturell,Bildender Künstler,,,,ja
