Ident;Straßenschlüssel;Straßenname;Ungerade Hausnummer von;Ungerade Hausnummer bis;Gerade Hausnummer von;Gerade Hausnummer bis;Stadtbezirk/Ortschaft;Gemarkung;Statistischer Bezirk;Finanzamtsbereich;PLZ;Bundestagswahlkreis;Landtagswahlkreis;Kommunalwahlkreis
0001;07015;"1.Steinweg                         ";"1   ";"19  ";"2   ";"4   ";"Loschwitz           ";"Loschwitz                ";413  Oberloschwitz;Nord;01326;159;"  ";"  "
0002;07015;"1.Steinweg                         ";"U   ";"    ";"    ";"    ";"Loschwitz           ";"Loschwitz                ";412  Loschwitz(Körnerplatz);Nord;01326;159;"  ";"  "
0003;07016;"2.Steinweg                         ";"1   ";"5   ";"    ";"    ";"Loschwitz           ";"Loschwitz                ";413  Oberloschwitz;Nord;01326;159;"  ";"  "
0004;07016;"2.Steinweg                         ";"    ";"    ";"2   ";"    ";"Loschwitz           ";"Loschwitz                ";412  Loschwitz(Körnerplatz);Nord;01326;159;"  ";"  "
0005;03056;"Aachener Straße                    ";"1   ";"11b ";"    ";"    ";"Pieschen            ";"Trachau                  ";246  Trachau(Industriestr);Nord;01129;159;"  ";"  "
0006;03056;"Aachener Straße                    ";"    ";"    ";"2   ";"10  ";"Pieschen            ";"Trachau                  ";241  Trachau(Cottbuser Str);Nord;01129;159;"  ";"  "
0007;03056;"Aachener Straße                    ";"13  ";"33  ";"    ";"    ";"Pieschen            ";"Trachau                  ";245  Trachau(Trobischstr);Nord;01129;159;"  ";"  "
0008;03056;"Aachener Straße                    ";"    ";"    ";"20  ";"50  ";"Pieschen            ";"Trachau                  ";243  Trachau(Stephanstr);Nord;01129;159;"  ";"  "
0009;03076;"Abbestraße                         ";"    ";"    ";"    ";"    ";"Pieschen            ";"Trachau                  ";247  Trachau(Richard-Rösch-Str);Nord;01129;159;"  ";"  "
0010;12089;"Achtbeeteweg                       ";"1   ";"35  ";"4   ";"18  ";"Plauen              ";"Coschütz                 ";851  Coschütz-Ost;"Süd ";01189;158;"  ";"  "
0011;12089;"Achtbeeteweg                       ";"43  ";"51a ";"    ";"    ";"Plauen              ";"Coschütz                 ";852  Coschütz-West;"Süd ";01189;158;"  ";"  "
0012;12089;"Achtbeeteweg                       ";"U   ";"    ";"    ";"    ";"Plauen              ";"Kaitz                    ";844  Kaitz;"Süd ";01217;158;"  ";"  "
0013;11021;"Ackermannstraße                    ";"    ";"    ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";824  Südvs.-Ost(Ackermannstr);"Süd ";01217;158;"  ";"  "
0014;14158;"Adalbert-Stifter-Weg               ";"    ";"    ";"    ";"    ";"Cotta               ";"Omsewitz                 ";985  Alt-Omsewitz;"Süd ";01157;159;"  ";"  "
0015;14018;"Adlergasse                         ";"    ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Friedrichstadt   ";052  Friedrichst.(Schäferstr);"Süd ";01067;158;"  ";"  "
0016;02020;"Adolfstraße                        ";"1   ";"9   ";"    ";"    ";"Pieschen            ";"Kaditz                   ";231  Kaditz(Wächterstr);Nord;01139;159;"  ";"  "
0017;02020;"Adolfstraße                        ";"    ";"    ";"2   ";"8   ";"Pieschen            ";"Kaditz                   ";232  Kaditz(Peschelstr);Nord;01139;159;"  ";"  "
0018;07102;"Agneshöhe                          ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Wachwitz                 ";414  Wachwitz;Nord;01326;159;"  ";"  "
0019;12045;"Agnes-Smedley-Straße               ";"    ";"    ";"    ";"    ";"Cotta               ";"Plauen                   ";933  Löbtau-Süd(Altfrankener Str);"Süd ";01187;159;"  ";"  "
0020;05192;"Ahlbecker Straße                   ";"    ";"    ";"    ";"    ";"Klotzsche           ";"Klotzsche                ";312  Klotzsche(Lubminer Str);Nord;01109;159;"  ";"  "
0021;05018;"Ahornstraße                        ";"    ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";118  Äußere Neust.(Tannenstr);Nord;01097;159;"  ";"  "
0022;07431;"Ahornweg                           ";"    ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Pappritz                 ";463  Pappritz-Ost;Nord;01328;159;"  ";"  "
