item,itemLabel,itemDescription,coordinate,instance_ofLabel,named_afters,named_afterLabel,named_afterDescriptions,named_after_instance_ofLabels,named_after_genderLabel,postal_codes,length,inception,place_of_birth,place_of_death,citizenships,occupations,birth_years,death_years
http://www.wikidata.org/entity/Q1335476,Emerich-Ambros-Ufer,Straße in Dresden,Point(13.6982 51.0527),Innerortsstraße,http://www.wikidata.org/entity/Q1335475,Emerich Ambros,,,männlich,"01157, 01159",,,Budapest,KZ Hohnstein,"Ungarn,Deutschland",Funktionär,1896,1933
http://www.wikidata.org/entity/Q1409170,Fetscherstraße,Straße in Dresden,Point(13.7772 51.0522),Innerortsstraße,http://www.wikidata.org/entity/Q2128099,Rainer Fetscher,,,männlich,01307,,,Wien,Dresden,Deutschland,"Hochschullehrer, Genetiker, Arzt",1895,1945
http://www.wikidata.org/entity/Q39562035,Friedrich-List-Platz,Platz in Dresden,Point(13.733833333 51.038),Platz,http://www.wikidata.org/entity/Q159917,Friedrich List,,,männlich,,,,Reutlingen,Kufstein,"Vereinigte Staaten,Königreich Württemberg","Journalist, Hochschullehrer, Wirtschaftswissenschaftler, Diplomat, Unternehmer, Politiker, Schriftsteller",1789,1846
http://www.wikidata.org/entity/Q2550498,Washingtonstraße,Straße in Dresden,Point(13.6925 51.0833),Innerortsstraße,http://www.wikidata.org/entity/Q23,George Washington,,,männlich,01139,,,Westmoreland County,Landsitz Mount Vernon,"Vereinigte Staaten,Königreich Großbritannien","Heeresoffizier, Geometer, Revolutionär, Kartograf, Staatsmann, Landwirt, Ingenieur, Politiker, Schriftsteller",1732,1799
http://www.wikidata.org/entity/Q61740402,Caspar-David-Friedrich-Straße,Straße in Dresden,Point(13.7575 51.02728),Innerortsstraße,http://www.wikidata.org/entity/Q104884,Caspar David Friedrich,,,männlich,"01217, 01219",,,Greifswald,Dresden,"Schweden,Königreich Preußen","Aquarellist, Landschaftsmaler, Bauzeichner, Druckgrafiker, Zeichner, Bildhauer, Maler",1774,1840
http://www.wikidata.org/entity/Q60463568,Könneritzstraße,Straße in Dresden,Point(13.724444 51.055833),Innerortsstraße,http://www.wikidata.org/entity/Q994021,Leonce von Könneritz,,,männlich,01067,1100,,Paris,Dresden,Deutschland,"Amtshauptmann, Jurist, Politiker",1835,1890
http://www.wikidata.org/entity/Q61000736,Stübelallee,Straße in Dresden,Point(13.7699 51.04013),Innerortsstraße,http://www.wikidata.org/entity/Q2058676,Paul Alfred Stübel,,,männlich,"01309, 01307",,,Dresden,Dresden,Deutschland,"Jurist, Politiker",1827,1895
http://www.wikidata.org/entity/Q61003831,Naumannstraße,Straße in Dresden-Blasewitz,Point(13.80531 51.0526),Innerortsstraße,http://www.wikidata.org/entity/Q213927,Johann Gottlieb Naumann,,,männlich,01309,,,Blasewitz,Dresden,Deutschland,"Dirigent, Komponist",1741,1801
http://www.wikidata.org/entity/Q2550213,Wasaplatz,Platz in Dresden,Point(13.7594 51.0282),Platz,http://www.wikidata.org/entity/Q472635,Gustav von Schweden,,,männlich,01219,,1880-01-01T00:00:00Z,Stockholm,Pillnitz,Schweden,Offizier,1799,1877
http://www.wikidata.org/entity/Q61791384,Güntzstraße,Straße in Dresden,Point(13.7575 51.0507),Innerortsstraße,http://www.wikidata.org/entity/Q1714508,Justus Friedrich Güntz,,,männlich,"01069, 01307",,,Wurzen,Dresden,Deutschland,Verleger,1801,1875
http://www.wikidata.org/entity/Q63827310,Karcherallee,Straße in Dresden,Point(13.77458 51.03319),Innerortsstraße,http://www.wikidata.org/entity/Q91029,Johann Friedrich Karcher,,,männlich,"01277, 01219",1180,,Dresden,Dresden,Deutschland,"Baumeister, Architekt",1650,1726
http://www.wikidata.org/entity/Q63870048,Altstrehlen,Straße in Dresden,Point(13.76288 51.02718),Innerortsstraße,http://www.wikidata.org/entity/Q57320,Friedrich August III.,,,männlich,01219,230,,Dresden,Szczodre,Deutschland,Monarch,1865,1932
http://www.wikidata.org/entity/Q63870819,Pfotenhauerstraße,Straße in Dresden,Point(13.77215 51.05763),Innerortsstraße,http://www.wikidata.org/entity/Q2574471,Wilhelm Pfotenhauer,,,männlich,01307,1810,,Hohenstein-Ernstthal,Dresden,Deutschland,Politiker,1812,1877
http://www.wikidata.org/entity/Q63870924,Hertelstraße,Straße in Dresden,Point(13.77221 51.05842),Innerortsstraße,http://www.wikidata.org/entity/Q81497104,Theodor Julius Hertel,,,männlich,01307,510,,,,Deutschland,Politiker,1807,1880
http://www.wikidata.org/entity/Q15377250,Fritz-Foerster-Platz,Verkehrsknoten in Dresden-Südvorstadt,Point(13.730678 51.030255),Platz,http://www.wikidata.org/entity/Q102428,Fritz Foerster,,,männlich,01069,,,Zielona Góra,Dresden,Deutschland,"Hochschullehrer, Chemiker",1866,1931
